"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2025","15.73","15.21","16.00","15.10","179.06M","-4.72%"
"05/22/2025","16.51","16.97","17.43","16.48","144.98M","-2.88%"
"05/21/2025","17.00","17.56","18.59","16.65","149.96M","-5.40%"
"05/20/2025","17.97","17.62","18.00","17.44","84.25M","-0.50%"
"05/19/2025","18.06","17.15","18.21","17.09","123.63M","-1.79%"
"05/16/2025","18.39","18.53","18.60","17.76","113.07M","-0.43%"
"05/15/2025","18.47","18.32","18.91","17.82","141.29M","-1.96%"
"05/14/2025","18.84","18.97","19.37","18.43","179.34M","1.29%"
"05/13/2025","18.60","17.36","18.86","17.28","212.93M","8.58%"
"05/12/2025","17.13","16.89","17.47","16.50","263.81M","21.40%"
"05/09/2025","14.11","14.21","14.47","13.74","149.64M","3.29%"
"05/08/2025","13.66","13.84","14.34","13.38","203.28M","2.86%"
"05/07/2025","13.28","12.61","13.40","12.23","190.95M","5.06%"
"05/06/2025","12.64","12.33","12.95","12.12","158.55M","-3.14%"
"05/05/2025","13.05","12.93","13.41","12.87","127.57M","-1.81%"
"05/02/2025","13.29","12.89","13.69","12.89","223.41M","9.83%"
"05/01/2025","12.10","12.53","12.81","12.05","203.35M","-0.49%"
"04/30/2025","12.16","10.99","12.21","10.75","229.39M","2.53%"
"04/29/2025","11.86","11.81","12.27","11.62","184.05M","-3.50%"
"04/28/2025","12.29","12.16","12.53","11.45","203.47M","-0.41%"
"04/25/2025","12.34","11.63","12.59","11.51","274.44M","2.83%"
"04/24/2025","12.00","11.05","12.09","10.85","339.64M","16.62%"
"04/23/2025","10.29","10.58","10.90","10.10","368.46M","12.09%"
"04/22/2025","9.18","8.95","9.40","8.85","249.21M","5.40%"
"04/21/2025","8.71","8.67","8.74","8.15","255.32M","-5.33%"
"04/17/2025","9.20","9.55","9.55","8.90","233.66M","-1.50%"
"04/16/2025","9.34","9.13","9.75","8.33","362.44M","-11.89%"
"04/15/2025","10.60","10.60","11.02","10.41","230.00M","1.24%"
"04/14/2025","10.47","11.15","11.16","9.97","358.85M","2.35%"
"04/11/2025","10.23","9.35","10.39","8.91","412.97M","6.23%"
"04/10/2025","9.63","10.91","11.14","8.35","686.33M","-24.59%"
"04/09/2025","12.77","8.48","13.11","8.24","787.75M","54.79%"
"04/08/2025","8.25","10.41","10.84","7.60","488.74M","-9.84%"
"04/07/2025","9.15","7.88","10.98","7.22","723.47M","4.81%"
"04/04/2025","8.73","10.05","10.43","8.18","499.16M","-23.49%"
