"Date","Price","Open","High","Low","Vol.","Change %"
"05/16/2025","23.03","22.97","23.04","22.65","1.12M","0.79%"
"05/15/2025","22.85","22.59","23.08","22.50","769.17K","0.66%"
"05/14/2025","22.70","22.68","22.85","22.56","731.89K","0.67%"
"05/13/2025","22.55","21.99","22.69","21.93","1.04M","3.06%"
"05/12/2025","21.88","21.82","21.89","21.36","1.36M","8.10%"
"05/09/2025","20.24","20.45","20.52","20.09","1.86M","-0.05%"
"05/08/2025","20.25","20.25","20.64","19.94","2.28M","1.91%"
"05/07/2025","19.87","19.77","20.05","19.34","1.94M","0.74%"
"05/06/2025","19.73","19.59","20.00","19.47","2.10M","-1.72%"
"05/05/2025","20.07","20.01","20.35","19.97","1.15M","-1.47%"
"05/02/2025","20.37","20.13","20.50","20.02","1.60M","3.30%"
"05/01/2025","19.72","19.89","20.20","19.70","2.11M","2.39%"
"04/30/2025","19.26","18.60","19.40","18.22","3.19M","-0.05%"
"04/29/2025","19.27","18.82","19.34","18.80","1.01M","1.21%"
"04/28/2025","19.04","19.10","19.22","18.52","1.12M","-0.10%"
"04/25/2025","19.06","18.57","19.08","18.47","1.10M","2.25%"
"04/24/2025","18.64","17.79","18.67","17.75","1.20M","5.67%"
"04/23/2025","17.64","17.95","18.31","17.53","2.26M","4.38%"
"04/22/2025","16.90","16.44","17.10","16.38","1.58M","5.10%"
"04/21/2025","16.08","16.46","16.51","15.66","1.56M","-4.88%"
"04/17/2025","16.91","17.14","17.16","16.70","1.38M","-0.09%"
"04/16/2025","16.92","17.30","17.57","16.42","1.45M","-6.05%"
"04/15/2025","18.01","18.05","18.33","17.85","1.45M","0.39%"
"04/14/2025","17.94","18.54","18.54","17.60","2.23M","1.36%"
"04/11/2025","17.70","17.01","17.80","16.74","2.13M","3.39%"
"04/10/2025","17.12","17.73","17.84","16.04","5.13M","-8.06%"
"04/09/2025","18.62","15.04","18.81","15.04","6.55M","23.64%"
"04/08/2025","15.06","16.77","17.08","14.64","4.50M","-4.14%"
"04/07/2025","15.71","14.55","17.11","14.10","8.49M","0.26%"
"04/04/2025","15.67","16.82","17.01","15.64","2.75M","-12.16%"
"04/03/2025","17.84","18.30","18.61","17.82","1.99M","-10.71%"
"04/02/2025","19.98","19.13","20.23","19.12","969.27K","1.58%"
"04/01/2025","19.67","19.25","19.74","19.00","1.29M","1.71%"
"03/31/2025","19.34","18.80","19.44","18.41","1.39M","-0.15%"
"03/28/2025","19.37","20.32","20.36","19.31","1.41M","-5.28%"
"03/27/2025","20.45","20.53","20.89","20.36","985.82K","-1.30%"
"03/26/2025","20.72","21.44","21.47","20.58","1.15M","-3.67%"
"03/25/2025","21.51","21.36","21.51","21.26","685.83K","1.13%"
"03/24/2025","21.27","21.00","21.33","20.97","1.01M","4.16%"
"03/21/2025","20.42","19.82","20.44","19.71","1.30M","0.84%"
"03/20/2025","20.25","20.02","20.70","20.00","1.21M","-0.74%"
"03/19/2025","20.40","20.05","20.77","19.90","1.23M","2.67%"
"03/18/2025","19.87","20.30","20.30","19.69","1.92M","-3.45%"
"03/17/2025","20.58","20.34","20.84","20.17","1.41M","1.06%"
"03/14/2025","20.36","19.85","20.40","19.77","1.41M","4.92%"
"03/13/2025","19.41","20.08","20.09","19.25","1.44M","-3.72%"
"03/12/2025","20.16","20.31","20.48","19.72","2.12M","2.23%"
"03/11/2025","19.72","19.77","20.29","19.33","3.03M","-0.55%"
"03/10/2025","19.83","20.76","20.77","19.45","2.13M","-7.68%"
"03/07/2025","21.48","21.00","21.60","20.51","1.92M","1.44%"
"03/06/2025","21.17","21.70","22.10","21.00","2.21M","-5.64%"
"03/05/2025","22.44","21.92","22.55","21.48","1.79M","2.70%"
"03/04/2025","21.85","21.69","22.57","21.17","2.01M","-0.77%"
"03/03/2025","22.02","23.32","23.44","21.68","1.34M","-4.22%"
"02/28/2025","22.99","22.31","23.05","22.02","1.94M","3.05%"
"02/27/2025","22.31","24.00","24.05","22.30","1.77M","-5.59%"
"02/26/2025","23.63","23.75","24.11","23.35","997.85K","0.47%"
"02/25/2025","23.52","24.10","24.10","23.18","1.07M","-2.57%"
"02/24/2025","24.14","24.93","25.00","24.12","782.59K","-2.39%"
"02/21/2025","24.73","25.92","25.92","24.71","980.38K","-4.22%"
"02/20/2025","25.82","26.00","26.00","25.38","497.82K","-0.96%"
