"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2025","66.32","65.09","67.34","64.86","107.11M","-2.88%"
"05/22/2025","68.29","68.16","69.75","67.62","86.77M","0.52%"
"05/21/2025","67.94","69.24","71.99","67.18","109.63M","-4.16%"
"05/20/2025","70.89","70.58","71.17","69.40","67.03M","-1.05%"
"05/19/2025","71.64","68.47","71.86","68.43","71.90M","0.27%"
"05/16/2025","71.45","71.11","71.52","69.65","63.81M","1.23%"
"05/15/2025","70.58","69.48","71.69","68.93","80.85M","0.31%"
"05/14/2025","70.36","69.61","70.61","69.21","80.59M","1.76%"
"05/13/2025","69.14","66.67","69.86","66.36","85.30M","4.58%"
"05/12/2025","66.11","65.85","66.16","63.85","101.24M","12.11%"
"05/09/2025","58.97","59.80","60.27","58.33","73.41M","-0.24%"
"05/08/2025","59.11","59.20","60.71","57.66","98.81M","2.98%"
"05/07/2025","57.40","56.96","58.26","55.08","104.37M","1.16%"
"05/06/2025","56.74","56.06","58.04","55.57","82.94M","-2.84%"
"05/05/2025","58.40","57.90","59.50","57.70","69.29M","-1.73%"
"05/02/2025","59.43","58.64","60.19","58.03","97.55M","4.69%"
"05/01/2025","56.77","57.56","58.88","56.63","102.74M","3.44%"
"04/30/2025","54.88","51.96","55.42","50.32","134.22M","0.02%"
"04/29/2025","54.87","53.04","55.17","52.83","84.90M","1.95%"
"04/28/2025","53.82","54.02","54.64","51.64","95.68M","-0.07%"
"04/25/2025","53.86","52.04","54.07","51.48","113.05M","3.30%"
"04/24/2025","52.14","48.74","52.28","48.54","120.31M","8.51%"
"04/23/2025","48.05","49.24","50.83","47.63","152.00M","6.64%"
